ccode,statename,year,polity2,leadertransition,totaltransitions,wars,totalwaryears
2,United States of America,1892,10,0,4,0,2
2,United States of America,1893,10,1,5,0,2
2,United States of America,1894,10,0,5,0,2
2,United States of America,1895,10,0,5,0,2
2,United States of America,1896,10,0,5,0,2
2,United States of America,1897,10,1,6,0,2
2,United States of America,1898,10,0,6,1,3
2,United States of America,1899,10,0,6,0,3
2,United States of America,1900,10,0,6,1,4
2,United States of America,1901,10,1,7,0,4
2,United States of America,1902,10,0,7,0,4
2,United States of America,1903,10,0,7,0,4
2,United States of America,1904,10,0,7,0,4
2,United States of America,1905,10,0,7,0,4
2,United States of America,1906,10,0,7,0,4
2,United States of America,1907,10,0,7,0,4
2,United States of America,1908,10,0,7,0,4
2,United States of America,1909,10,1,8,0,4
2,United States of America,1910,10,0,8,0,4
2,United States of America,1911,10,0,8,0,4
2,United States of America,1912,10,0,8,0,4
2,United States of America,1913,10,1,9,0,4
2,United States of America,1914,10,0,9,0,4
2,United States of America,1915,10,0,9,0,4
2,United States of America,1916,10,0,9,0,4
2,United States of America,1917,10,0,9,1,5
2,United States of America,1918,10,0,9,1,6
2,United States of America,1919,10,0,9,0,6
2,United States of America,1920,10,0,9,0,6
2,United States of America,1921,10,1,10,0,6
2,United States of America,1922,10,0,10,0,6
2,United States of America,1923,10,1,11,0,6
2,United States of America,1924,10,0,11,0,6
2,United States of America,1925,10,0,11,0,6
2,United States of America,1926,10,0,11,0,6
2,United States of America,1927,10,0,11,0,6
2,United States of America,1928,10,0,11,0,6
2,United States of America,1929,10,1,12,0,6
2,United States of America,1930,10,0,12,0,6
2,United States of America,1931,10,0,12,0,6
2,United States of America,1932,10,0,12,0,6
2,United States of America,1933,10,1,13,0,6
2,United States of America,1934,10,0,13,0,6
2,United States of America,1935,10,0,13,0,6
2,United States of America,1936,10,0,13,0,6
2,United States of America,1937,10,0,13,0,6
2,United States of America,1938,10,0,13,0,6
2,United States of America,1939,10,0,13,0,6
2,United States of America,1940,10,0,13,0,6
2,United States of America,1941,10,0,13,1,7
2,United States of America,1942,10,0,13,1,8
2,United States of America,1943,10,0,13,1,9
2,United States of America,1944,10,0,13,1,10
2,United States of America,1945,10,1,14,1,11
2,United States of America,1946,10,0,14,0,11
2,United States of America,1947,10,0,14,0,11
2,United States of America,1948,10,0,14,0,11
2,United States of America,1949,10,0,14,0,11
2,United States of America,1950,10,0,14,1,12
2,United States of America,1951,10,0,14,1,13
2,United States of America,1952,10,0,14,1,14
2,United States of America,1953,10,1,15,1,15
2,United States of America,1954,10,0,15,0,15
2,United States of America,1955,10,0,15,0,15
2,United States of America,1956,10,0,15,0,15
2,United States of America,1957,10,0,15,0,15
2,United States of America,1958,10,0,15,0,15
2,United States of America,1959,10,0,15,0,15
2,United States of America,1960,10,0,15,0,15
2,United States of America,1961,10,1,16,0,15
2,United States of America,1962,10,0,16,0,15
2,United States of America,1963,10,1,17,0,15
2,United States of America,1964,10,0,17,0,15
2,United States of America,1965,10,0,17,1,16
2,United States of America,1966,10,0,17,1,17
2,United States of America,1967,8,0,17,1,18
2,United States of America,1968,8,0,17,2,20
2,United States of America,1969,8,1,18,2,22
2,United States of America,1970,8,0,18,3,25
2,United States of America,1971,8,0,18,3,28
2,United States of America,1972,8,0,18,2,30
2,United States of America,1973,8,0,18,2,32
2,United States of America,1974,10,1,19,0,32
2,United States of America,1975,10,0,19,0,32
2,United States of America,1976,10,0,19,0,32
2,United States of America,1977,10,1,20,0,32
2,United States of America,1978,10,0,20,0,32
2,United States of America,1979,10,0,20,0,32
2,United States of America,1980,10,0,20,0,32
2,United States of America,1981,10,1,21,0,32
2,United States of America,1982,10,0,21,0,32
2,United States of America,1983,10,0,21,0,32
2,United States of America,1984,10,0,21,0,32
2,United States of America,1985,10,0,21,0,32
2,United States of America,1986,10,0,21,0,32
2,United States of America,1987,10,0,21,0,32
2,United States of America,1988,10,0,21,0,32
2,United States of America,1989,10,1,22,0,32
2,United States of America,1990,10,0,22,0,32
2,United States of America,1991,10,0,22,1,33
2,United States of America,1992,10,0,22,0,33
2,United States of America,1993,10,1,23,0,33
2,United States of America,1994,10,0,23,0,33
2,United States of America,1995,10,0,23,0,33
2,United States of America,1996,10,0,23,0,33
2,United States of America,1997,10,0,23,0,33
2,United States of America,1998,10,0,23,0,33
2,United States of America,1999,10,0,23,1,34
2,United States of America,2000,10,0,23,0,34
2,United States of America,2001,10,1,24,1,35
2,United States of America,2002,10,0,24,0,35
2,United States of America,2003,10,0,24,1,36
2,United States of America,2004,10,0,24,0,36
2,United States of America,2005,10,0,24,0,36
2,United States of America,2006,10,0,24,0,36
2,United States of America,2007,10,0,24,0,36
2,United States of America,2008,10,0,24,0,36
2,United States of America,2009,10,1,25,0,36
2,United States of America,2010,10,0,25,0,36
2,United States of America,2011,10,0,25,0,36
2,United States of America,2012,10,0,25,0,36
2,United States of America,2013,10,0,25,0,36
2,United States of America,2014,10,0,25,0,36
2,United States of America,2015,10,0,25,0,36
2,United States of America,2016,8,,25,0,36
2,United States of America,2017,8,,25,0,36
2,United States of America,2018,,,25,0,36
2,United States of America,2019,,,25,0,36
2,United States of America,2020,,,25,0,36
2,United States of America,2021,,,25,0,36
20,Canada,1920,9,1,1,0,0
20,Canada,1921,10,1,2,0,0
20,Canada,1922,10,0,2,0,0
20,Canada,1923,10,0,2,0,0
20,Canada,1924,10,0,2,0,0
20,Canada,1925,10,0,2,0,0
20,Canada,1926,10,0,2,0,0
20,Canada,1927,10,0,2,0,0
20,Canada,1928,10,0,2,0,0
20,Canada,1929,10,0,2,0,0
20,Canada,1930,10,1,3,0,0
20,Canada,1931,10,0,3,0,0
20,Canada,1932,10,0,3,0,0
20,Canada,1933,10,0,3,0,0
20,Canada,1934,10,0,3,0,0
20,Canada,1935,10,1,4,0,0
20,Canada,1936,10,0,4,0,0
20,Canada,1937,10,0,4,0,0
20,Canada,1938,10,0,4,0,0
20,Canada,1939,10,0,4,1,1
20,Canada,1940,10,0,4,1,2
20,Canada,1941,10,0,4,1,3
20,Canada,1942,10,0,4,1,4
20,Canada,1943,10,0,4,1,5
20,Canada,1944,10,0,4,1,6
20,Canada,1945,10,0,4,1,7
20,Canada,1946,10,0,4,0,7
20,Canada,1947,10,0,4,0,7
20,Canada,1948,10,1,5,0,7
20,Canada,1949,10,0,5,0,7
20,Canada,1950,10,0,5,1,8
20,Canada,1951,10,0,5,1,9
20,Canada,1952,10,0,5,1,10
20,Canada,1953,10,0,5,1,11
20,Canada,1954,10,0,5,0,11
20,Canada,1955,10,0,5,0,11
20,Canada,1956,10,0,5,0,11
20,Canada,1957,10,1,6,0,11
20,Canada,1958,10,0,6,0,11
20,Canada,1959,10,0,6,0,11
20,Canada,1960,10,0,6,0,11
20,Canada,1961,10,0,6,0,11
20,Canada,1962,10,0,6,0,11
20,Canada,1963,10,1,7,0,11
20,Canada,1964,10,0,7,0,11
20,Canada,1965,10,0,7,0,11
20,Canada,1966,10,0,7,0,11
20,Canada,1967,10,0,7,0,11
20,Canada,1968,10,1,8,0,11
20,Canada,1969,10,0,8,0,11
20,Canada,1970,10,0,8,0,11
20,Canada,1971,10,0,8,0,11
20,Canada,1972,10,0,8,0,11
20,Canada,1973,10,0,8,0,11
20,Canada,1974,10,0,8,0,11
20,Canada,1975,10,0,8,0,11
20,Canada,1976,10,0,8,0,11
20,Canada,1977,10,0,8,0,11
20,Canada,1978,10,0,8,0,11
20,Canada,1979,10,1,9,0,11
20,Canada,1980,10,1,10,0,11
20,Canada,1981,10,0,10,0,11
20,Canada,1982,10,0,10,0,11
20,Canada,1983,10,0,10,0,11
20,Canada,1984,10,1,11,0,11
20,Canada,1985,10,0,11,0,11
20,Canada,1986,10,0,11,0,11
20,Canada,1987,10,0,11,0,11
20,Canada,1988,10,0,11,0,11
20,Canada,1989,10,0,11,0,11
20,Canada,1990,10,0,11,0,11
20,Canada,1991,10,0,11,1,12
20,Canada,1992,10,0,11,0,12
20,Canada,1993,10,1,12,0,12
20,Canada,1994,10,0,12,0,12
20,Canada,1995,10,0,12,0,12
20,Canada,1996,10,0,12,0,12
20,Canada,1997,10,0,12,0,12
20,Canada,1998,10,0,12,0,12
20,Canada,1999,10,0,12,0,12
20,Canada,2000,10,0,12,0,12
20,Canada,2001,10,0,12,1,13
20,Canada,2002,10,0,12,0,13
20,Canada,2003,10,1,13,0,13
20,Canada,2004,10,0,13,0,13
20,Canada,2005,10,0,13,0,13
20,Canada,2006,10,1,14,0,13
20,Canada,2007,10,0,14,0,13
20,Canada,2008,10,0,14,0,13
20,Canada,2009,10,0,14,0,13
20,Canada,2010,10,0,14,0,13
20,Canada,2011,10,0,14,0,13
20,Canada,2012,10,0,14,0,13
20,Canada,2013,10,0,14,0,13
20,Canada,2014,10,0,14,0,13
20,Canada,2015,10,1,15,0,13
20,Canada,2016,10,,15,0,13
20,Canada,2017,10,,15,0,13
20,Canada,2018,,,15,0,13
20,Canada,2019,,,15,0,13
20,Canada,2020,,,15,0,13
20,Canada,2021,,,15,0,13
31,Bahamas,1973,,0,0,0,0
31,Bahamas,1974,,0,0,0,0
31,Bahamas,1975,,0,0,0,0
31,Bahamas,1976,,0,0,0,0
31,Bahamas,1977,,0,0,0,0
31,Bahamas,1978,,0,0,0,0
31,Bahamas,1979,,0,0,0,0
31,Bahamas,1980,,0,0,0,0
31,Bahamas,1981,,0,0,0,0
31,Bahamas,1982,,0,0,0,0
31,Bahamas,1983,,0,0,0,0
31,Bahamas,1984,,0,0,0,0
31,Bahamas,1985,,0,0,0,0
31,Bahamas,1986,,0,0,0,0
31,Bahamas,1987,,0,0,0,0
31,Bahamas,1988,,0,0,0,0
31,Bahamas,1989,,0,0,0,0
31,Bahamas,1990,,0,0,0,0
31,Bahamas,1991,,0,0,0,0
31,Bahamas,1992,,1,1,0,0
31,Bahamas,1993,,0,1,0,0
31,Bahamas,1994,,0,1,0,0
31,Bahamas,1995,,0,1,0,0
31,Bahamas,1996,,0,1,0,0
31,Bahamas,1997,,0,1,0,0
31,Bahamas,1998,,0,1,0,0
31,Bahamas,1999,,0,1,0,0
31,Bahamas,2000,,0,1,0,0
31,Bahamas,2001,,0,1,0,0
31,Bahamas,2002,,1,2,0,0
31,Bahamas,2003,,0,2,0,0
31,Bahamas,2004,,0,2,0,0
31,Bahamas,2005,,0,2,0,0
31,Bahamas,2006,,0,2,0,0
31,Bahamas,2007,,1,3,0,0
31,Bahamas,2008,,0,3,0,0
31,Bahamas,2009,,0,3,0,0
31,Bahamas,2010,,0,3,0,0
31,Bahamas,2011,,0,3,0,0
31,Bahamas,2012,,1,4,0,0
31,Bahamas,2013,,0,4,0,0
31,Bahamas,2014,,0,4,0,0
31,Bahamas,2015,,0,4,0,0
31,Bahamas,2016,,,4,0,0
31,Bahamas,2017,,,4,0,0
31,Bahamas,2018,,,4,0,0
31,Bahamas,2019,,,4,0,0
31,Bahamas,2020,,,4,0,0
31,Bahamas,2021,,,4,0,0
40,Cuba,1902,3,0,0,0,0
40,Cuba,1903,3,0,0,0,0
40,Cuba,1904,3,0,0,0,0
40,Cuba,1905,3,0,0,0,0
40,Cuba,1906,3,0,0,0,0
40,Cuba,1909,3,0,0,0,0
40,Cuba,1910,3,0,0,0,0
40,Cuba,1911,3,0,0,0,0
40,Cuba,1912,3,0,0,0,0
40,Cuba,1913,3,1,1,0,0
40,Cuba,1914,3,0,1,0,0
40,Cuba,1915,3,0,1,0,0
40,Cuba,1916,3,0,1,0,0
40,Cuba,1917,3,0,1,0,0
40,Cuba,1918,3,0,1,0,0
40,Cuba,1919,3,0,1,0,0
40,Cuba,1920,3,0,1,0,0
40,Cuba,1921,3,1,2,0,0
40,Cuba,1922,3,0,2,0,0
40,Cuba,1923,3,0,2,0,0
40,Cuba,1924,3,0,2,0,0
40,Cuba,1925,3,1,3,0,0
40,Cuba,1926,3,0,3,0,0
40,Cuba,1927,3,0,3,0,0
40,Cuba,1928,1,0,3,0,0
40,Cuba,1929,1,0,3,0,0
40,Cuba,1930,1,0,3,0,0
40,Cuba,1931,1,0,3,0,0
40,Cuba,1932,1,0,3,0,0
40,Cuba,1933,3,1,4,0,0
40,Cuba,1934,3,1,5,0,0
40,Cuba,1935,3,1,6,0,0
40,Cuba,1936,3,1,7,0,0
40,Cuba,1937,3,0,7,0,0
40,Cuba,1938,3,0,7,0,0
40,Cuba,1939,3,0,7,0,0
40,Cuba,1940,3,1,8,0,0
40,Cuba,1941,3,0,8,0,0
40,Cuba,1942,3,0,8,0,0
40,Cuba,1943,3,0,8,0,0
40,Cuba,1944,3,1,9,0,0
40,Cuba,1945,3,0,9,0,0
40,Cuba,1946,3,0,9,0,0
40,Cuba,1947,3,0,9,0,0
40,Cuba,1948,3,1,10,0,0
40,Cuba,1949,3,0,10,0,0
40,Cuba,1950,3,0,10,0,0
40,Cuba,1951,3,0,10,0,0
40,Cuba,1952,0,1,11,0,0
40,Cuba,1953,-3,0,11,0,0
40,Cuba,1954,-6,0,11,0,0
40,Cuba,1955,-9,0,11,0,0
40,Cuba,1956,-9,0,11,0,0
40,Cuba,1957,-9,0,11,0,0
40,Cuba,1958,-9,0,11,0,0
40,Cuba,1959,0,1,12,0,0
40,Cuba,1960,-4,0,12,0,0
40,Cuba,1961,-7,0,12,0,0
40,Cuba,1962,-7,0,12,0,0
40,Cuba,1963,-7,0,12,0,0
40,Cuba,1964,-7,0,12,0,0
40,Cuba,1965,-7,0,12,0,0
40,Cuba,1966,-7,0,12,0,0
40,Cuba,1967,-7,0,12,0,0
40,Cuba,1968,-7,0,12,0,0
40,Cuba,1969,-7,0,12,0,0
40,Cuba,1970,-7,0,12,0,0
40,Cuba,1971,-7,0,12,0,0
40,Cuba,1972,-7,0,12,0,0
40,Cuba,1973,-7,0,12,0,0
40,Cuba,1974,-7,0,12,0,0
40,Cuba,1975,-7,0,12,1,1
40,Cuba,1976,-7,0,12,1,2
40,Cuba,1977,-7,0,12,1,3
40,Cuba,1978,-7,0,12,1,4
40,Cuba,1979,-7,0,12,0,4
40,Cuba,1980,-7,0,12,0,4
40,Cuba,1981,-7,0,12,0,4
40,Cuba,1982,-7,0,12,0,4
40,Cuba,1983,-7,0,12,0,4
40,Cuba,1984,-7,0,12,0,4
40,Cuba,1985,-7,0,12,0,4
40,Cuba,1986,-7,0,12,0,4
40,Cuba,1987,-7,0,12,0,4
40,Cuba,1988,-7,0,12,0,4
40,Cuba,1989,-7,0,12,0,4
40,Cuba,1990,-7,0,12,0,4
40,Cuba,1991,-7,0,12,0,4
40,Cuba,1992,-7,0,12,0,4
40,Cuba,1993,-7,0,12,0,4
40,Cuba,1994,-7,0,12,0,4
40,Cuba,1995,-7,0,12,0,4
40,Cuba,1996,-7,0,12,0,4
40,Cuba,1997,-7,0,12,0,4
40,Cuba,1998,-7,0,12,0,4
40,Cuba,1999,-7,0,12,0,4
40,Cuba,2000,-7,0,12,0,4
40,Cuba,2001,-7,0,12,0,4
40,Cuba,2002,-7,0,12,0,4
40,Cuba,2003,-7,0,12,0,4
40,Cuba,2004,-7,0,12,0,4
40,Cuba,2005,-7,0,12,0,4
40,Cuba,2006,-7,0,12,0,4
40,Cuba,2007,-7,0,12,0,4
40,Cuba,2008,-7,1,13,0,4
40,Cuba,2009,-7,0,13,0,4
40,Cuba,2010,-7,0,13,0,4
40,Cuba,2011,-7,0,13,0,4
40,Cuba,2012,-7,0,13,0,4
40,Cuba,2013,-7,0,13,0,4
40,Cuba,2014,-7,0,13,0,4
40,Cuba,2015,-7,0,13,0,4
40,Cuba,2016,-7,,13,0,4
40,Cuba,2017,-7,,13,0,4
40,Cuba,2018,,,13,0,4
40,Cuba,2019,,,13,0,4
40,Cuba,2020,,,13,0,4
40,Cuba,2021,,,13,0,4
41,Haiti,1859,-3,,0,0,0
41,Haiti,1860,-3,,0,0,0
41,Haiti,1861,-3,,0,0,0
41,Haiti,1862,-3,,0,0,0
41,Haiti,1863,-3,,0,0,0
41,Haiti,1864,-3,,0,0,0
41,Haiti,1865,-3,,0,0,0
41,Haiti,1866,-3,,0,0,0
41,Haiti,1867,-3,,0,0,0
41,Haiti,1868,-3,,0,0,0
41,Haiti,1869,-3,,0,0,0
41,Haiti,1870,-3,,0,0,0
41,Haiti,1871,-3,,0,0,0
41,Haiti,1872,-3,,0,0,0
41,Haiti,1873,-3,,0,0,0
41,Haiti,1874,-3,0,0,0,0
41,Haiti,1875,-3,0,0,0,0
41,Haiti,1876,-3,1,1,0,0
41,Haiti,1877,-3,0,1,0,0
41,Haiti,1878,-3,0,1,0,0
41,Haiti,1879,-3,1,2,0,0
41,Haiti,1880,-3,0,2,0,0
41,Haiti,1881,-3,0,2,0,0
41,Haiti,1882,-3,0,2,0,0
41,Haiti,1883,-3,0,2,0,0
41,Haiti,1884,-3,0,2,0,0
41,Haiti,1885,-3,0,2,0,0
41,Haiti,1886,-3,0,2,0,0
41,Haiti,1887,-3,0,2,0,0
41,Haiti,1888,-3,1,3,0,0
41,Haiti,1889,-3,1,4,0,0
41,Haiti,1890,-3,0,4,0,0
41,Haiti,1891,-3,0,4,0,0
41,Haiti,1892,-3,0,4,0,0
41,Haiti,1893,-3,0,4,0,0
41,Haiti,1894,-3,0,4,0,0
41,Haiti,1895,-3,0,4,0,0
41,Haiti,1896,-3,1,5,0,0
41,Haiti,1897,-3,0,5,0,0
41,Haiti,1898,-3,0,5,0,0
41,Haiti,1899,-3,0,5,0,0
41,Haiti,1900,-3,0,5,0,0
41,Haiti,1901,-3,0,5,0,0
41,Haiti,1902,-3,1,6,0,0
41,Haiti,1903,-3,0,6,0,0
41,Haiti,1904,-3,0,6,0,0
41,Haiti,1905,-3,0,6,0,0
41,Haiti,1906,-3,0,6,0,0
41,Haiti,1907,-3,0,6,0,0
41,Haiti,1908,-3,1,7,0,0
41,Haiti,1909,-3,0,7,0,0
41,Haiti,1910,-3,0,7,0,0
41,Haiti,1911,-3,1,8,0,0
41,Haiti,1912,-3,1,9,0,0
41,Haiti,1913,-3,1,10,0,0
41,Haiti,1914,-3,1,11,0,0
41,Haiti,1915,,1,12,0,0
41,Haiti,1934,2,0,12,0,0
41,Haiti,1935,0,0,12,0,0
41,Haiti,1936,0,0,12,0,0
41,Haiti,1937,0,0,12,0,0
41,Haiti,1938,0,0,12,0,0
41,Haiti,1939,0,0,12,0,0
41,Haiti,1940,0,0,12,0,0
41,Haiti,1941,0,1,13,0,0
41,Haiti,1942,0,0,13,0,0
41,Haiti,1943,0,0,13,0,0
41,Haiti,1944,0,0,13,0,0
41,Haiti,1945,0,0,13,0,0
41,Haiti,1946,-1,1,14,0,0
41,Haiti,1947,-2,0,14,0,0
41,Haiti,1948,-3,0,14,0,0
41,Haiti,1949,-4,0,14,0,0
41,Haiti,1950,-5,1,15,0,0
41,Haiti,1951,-5,0,15,0,0
41,Haiti,1952,-5,0,15,0,0
41,Haiti,1953,-5,0,15,0,0
41,Haiti,1954,-5,0,15,0,0
41,Haiti,1955,-5,0,15,0,0
41,Haiti,1956,-5,1,16,0,0
41,Haiti,1957,-5,1,17,0,0
41,Haiti,1958,-8,0,17,0,0
41,Haiti,1959,-8,0,17,0,0
41,Haiti,1960,-8,0,17,0,0
41,Haiti,1961,-9,0,17,0,0
41,Haiti,1962,-9,0,17,0,0
41,Haiti,1963,-9,0,17,0,0
41,Haiti,1964,-9,0,17,0,0
41,Haiti,1965,-9,0,17,0,0
41,Haiti,1966,-9,0,17,0,0
41,Haiti,1967,-9,0,17,0,0
41,Haiti,1968,-9,0,17,0,0
41,Haiti,1969,-9,0,17,0,0
41,Haiti,1970,-9,0,17,0,0
41,Haiti,1971,-10,1,18,0,0
41,Haiti,1972,-10,0,18,0,0
41,Haiti,1973,-10,0,18,0,0
41,Haiti,1974,-10,0,18,0,0
41,Haiti,1975,-10,0,18,0,0
41,Haiti,1976,-10,0,18,0,0
41,Haiti,1977,-9,0,18,0,0
41,Haiti,1978,-9,0,18,0,0
41,Haiti,1979,-9,0,18,0,0
41,Haiti,1980,-9,0,18,0,0
41,Haiti,1981,-9,0,18,0,0
41,Haiti,1982,-9,0,18,0,0
41,Haiti,1983,-9,0,18,0,0
41,Haiti,1984,-9,0,18,0,0
41,Haiti,1985,-9,0,18,0,0
41,Haiti,1986,-8,1,19,0,0
41,Haiti,1987,-8,0,19,0,0
41,Haiti,1988,-7,1,20,0,0
41,Haiti,1989,-6,0,20,0,0
41,Haiti,1990,7,1,21,0,0
41,Haiti,1991,-7,1,22,0,0
41,Haiti,1992,-7,0,22,0,0
41,Haiti,1993,-7,0,22,0,0
41,Haiti,1994,7,1,23,0,0
41,Haiti,1995,7,0,23,0,0
41,Haiti,1996,7,1,24,0,0
41,Haiti,1997,7,0,24,0,0
41,Haiti,1998,7,0,24,0,0
41,Haiti,1999,2,0,24,0,0
41,Haiti,2000,-2,0,24,0,0
41,Haiti,2001,-2,1,25,0,0
41,Haiti,2002,-2,0,25,0,0
41,Haiti,2003,-2,0,25,0,0
41,Haiti,2004,0,1,26,0,0
41,Haiti,2005,3,0,26,0,0
41,Haiti,2006,5,1,27,0,0
41,Haiti,2007,5,0,27,0,0
41,Haiti,2008,5,0,27,0,0
41,Haiti,2009,5,0,27,0,0
41,Haiti,2010,0,0,27,0,0
41,Haiti,2011,0,1,28,0,0
41,Haiti,2012,0,0,28,0,0
41,Haiti,2013,0,0,28,0,0
41,Haiti,2014,0,0,28,0,0
41,Haiti,2015,0,,28,0,0
41,Haiti,2016,5,,28,0,0
41,Haiti,2017,5,,28,0,0
41,Haiti,2018,,,28,0,0
41,Haiti,2019,,,28,0,0
41,Haiti,2020,,,28,0,0
41,Haiti,2021,,,28,0,0
42,Dominican Republic,1894,-3,0,0,0,0
42,Dominican Republic,1895,-3,0,0,0,0
42,Dominican Republic,1896,-3,0,0,0,0
42,Dominican Republic,1897,-3,0,0,0,0
42,Dominican Republic,1898,-3,0,0,0,0
42,Dominican Republic,1899,-3,1,1,0,0
42,Dominican Republic,1900,-3,0,1,0,0
42,Dominican Republic,1901,-3,0,1,0,0
42,Dominican Republic,1902,-3,1,2,0,0
42,Dominican Republic,1903,-3,1,3,0,0
42,Dominican Republic,1904,-3,0,3,0,0
42,Dominican Republic,1905,-3,1,4,0,0
42,Dominican Republic,1906,-3,0,4,0,0
42,Dominican Republic,1907,-3,0,4,0,0
42,Dominican Republic,1908,-3,0,4,0,0
42,Dominican Republic,1909,-3,0,4,0,0
42,Dominican Republic,1910,-3,0,4,0,0
42,Dominican Republic,1911,-3,1,5,0,0
42,Dominican Republic,1912,-3,1,6,0,0
42,Dominican Republic,1913,-3,1,7,0,0
42,Dominican Republic,1914,,1,8,0,0
42,Dominican Republic,1915,,0,8,0,0
42,Dominican Republic,1916,,0,8,0,0
42,Dominican Republic,1924,,0,8,0,0
42,Dominican Republic,1925,-3,0,8,0,0
42,Dominican Republic,1926,-3,0,8,0,0
42,Dominican Republic,1927,-3,0,8,0,0
42,Dominican Republic,1928,-3,0,8,0,0
42,Dominican Republic,1929,-3,0,8,0,0
42,Dominican Republic,1930,-5,1,9,0,0
42,Dominican Republic,1931,-7,0,9,0,0
42,Dominican Republic,1932,-9,0,9,0,0
42,Dominican Republic,1933,-9,0,9,0,0
42,Dominican Republic,1934,-9,0,9,0,0
42,Dominican Republic,1935,-9,0,9,0,0
42,Dominican Republic,1936,-9,0,9,0,0
42,Dominican Republic,1937,-9,0,9,0,0
42,Dominican Republic,1938,-9,0,9,0,0
42,Dominican Republic,1939,-9,0,9,0,0
42,Dominican Republic,1940,-9,0,9,0,0
42,Dominican Republic,1941,-9,0,9,0,0
42,Dominican Republic,1942,-9,0,9,0,0
42,Dominican Republic,1943,-9,0,9,0,0
42,Dominican Republic,1944,-9,0,9,0,0
42,Dominican Republic,1945,-9,0,9,0,0
42,Dominican Republic,1946,-9,0,9,0,0
42,Dominican Republic,1947,-9,0,9,0,0
42,Dominican Republic,1948,-9,0,9,0,0
42,Dominican Republic,1949,-9,0,9,0,0
42,Dominican Republic,1950,-9,0,9,0,0
42,Dominican Republic,1951,-9,0,9,0,0
42,Dominican Republic,1952,-9,0,9,0,0
42,Dominican Republic,1953,-9,0,9,0,0
42,Dominican Republic,1954,-9,0,9,0,0
42,Dominican Republic,1955,-9,0,9,0,0
42,Dominican Republic,1956,-9,0,9,0,0
42,Dominican Republic,1957,-9,0,9,0,0
42,Dominican Republic,1958,-9,0,9,0,0
42,Dominican Republic,1959,-9,0,9,0,0
42,Dominican Republic,1960,-9,0,9,0,0
42,Dominican Republic,1961,0,1,10,0,0
42,Dominican Republic,1962,8,1,11,0,0
42,Dominican Republic,1963,0,1,12,0,0
42,Dominican Republic,1964,0,0,12,0,0
42,Dominican Republic,1965,0,1,13,0,0
42,Dominican Republic,1966,-3,1,14,0,0
